dateflg,timeflg,INFLOW_STRETCHER,Infl_Stretcher_cum,INFLOW_AMBULATORY,Infl_Ambulatory_cum,Inflow_Total,Inflow_Cum_Total,INFLOW_AMBULANCES,Infl_Ambulances_cum,FLS,CUM_ADMREQ,CUM_BA1,WAITINGADM,TTStr,TRG_HALLWAY1,TRG_HALLWAY_TBS,reoriented_cum,reoriented_cum_MD,QTRACK1,RESUS,Pod_T,POD_GREEN,POD_GREEN_TBS,POD_YELLOW,POD_YELLOW_TBS,POD_ORANGE,POD_ORANGE_TBS,POD_CONS_MORE2H,POD_IMCONS_MORE4H,POD_XRAY_MORE2H,POD_CT_MORE2H,POST_POD1,VERTSTRET,RAZ_TBS,RAZ_LAZYBOY,RAZ_WAITINGREZ,AMBVERT1,AMBVERTTBS,QTrack_TBS,Garage_TBS,RAZ_CONS_MORE2H,RAZ_IMCONS_MORE4H,RAZ_XRAY_MORE2H,RAZ_CT_MORE2H1,PSYCH1,PSYCH_WAITINGADM
04/01/21,24,5,93,0,109,5,202,1,36,0,45,42,18,61,0,0,14,17,0,4,40,14,1,12,3,14,2,5,1,0,6,0,6,0,5,10,3,3,,,3,0,0,2,11,8
04/01/21,23,4,88,0,109,4,197,2,35,0,45,43,17,56,1,1,14,17,0,4,36,13,0,11,1,12,2,5,0,1,5,0,4,0,3,8,7,4,,,3,0,0,4,11,8
04/01/21,22,3,84,6,109,9,193,2,33,0,40,40,15,55,0,0,14,17,0,4,36,16,0,12,2,8,0,6,0,0,4,0,5,0,4,7,12,9,,,4,0,0,3,10,7
04/01/21,21,2,81,8,103,10,184,1,31,0,39,38,16,61,1,1,12,16,1,5,38,16,2,11,0,11,0,8,0,1,5,0,8,0,5,10,11,7,,,3,0,0,1,9,7
04/01/21,20,6,79,8,95,14,174,3,30,0,39,35,19,65,0,0,11,16,1,4,40,16,1,11,3,13,2,6,0,0,4,0,11,0,4,10,9,6,,,2,0,0,1,10,7
04/01/21,19,9,73,5,87,14,160,2,27,0,37,34,17,65,2,1,9,16,0,5,35,15,3,8,0,12,2,6,1,0,4,0,13,4,5,8,7,3,,,1,0,0,1,10,7
04/01/21,18,4,64,9,82,13,146,1,25,0,34,34,16,62,0,0,9,12,0,6,40,15,2,13,1,12,0,7,2,1,8,0,8,0,5,6,14,9,,,1,0,0,2,8,7
04/01/21,17,7,60,2,73,9,133,4,24,0,32,34,14,75,3,2,9,8,0,5,48,17,3,15,1,16,1,7,2,1,10,0,11,1,5,4,7,3,,,2,1,0,1,8,7
04/01/21,16,3,53,6,71,9,124,1,20,0,30,32,14,68,1,1,9,7,0,5,42,14,2,14,1,14,1,7,1,2,8,0,12,0,7,9,15,10,,,5,1,0,2,8,7
04/01/21,15,10,50,9,65,19,115,3,19,1,27,25,19,70,3,3,9,7,1,5,39,13,1,13,1,13,0,5,1,2,4,0,14,1,7,8,10,6,,,3,0,0,2,9,7
